"Aaron",8.0e-03
"Aarons",1.0e-03
"Aasen",1.0e-03
"Abad",1.0e-03
"Abadie",1.0e-03
"Abarca",1.0e-03
"Abate",1.0e-03
"Abbas",1.0e-03
"Abbate",1.0e-03
"Abbey",2.0e-03
"Abbott",0.02
"Abdallah",1.0e-03
"Abdo",1.0e-03
"Abdul",1.0e-03
"Abdullah",2.0e-03
"Abe",1.0e-03
"Abel",7.0e-03
"Abell",3.0e-03
"Abels",1.0e-03
"Abercrombie",2.0e-03
"Abernathy",7.0e-03
"Abernethy",1.0e-03
"Abeyta",2.0e-03
"Able",1.0e-03
"Ables",2.0e-03
"Abner",3.0e-03
"Abney",5.0e-03
"Abraham",8.0e-03
"Abrahams",1.0e-03
"Abrahamson",1.0e-03
"Abram",2.0e-03
"Abramowitz",1.0e-03
"Abrams",9.0e-03
"Abramson",2.0e-03
"Abrego",2.0e-03
"Abreu",4.0e-03
"Abril",1.0e-03
"Abron",1.0e-03
"Absher",1.0e-03
"Abshire",1.0e-03
"Abston",1.0e-03
"Acevedo",0.01
"Aceves",1.0e-03
"Achenbach",1.0e-03
"Acheson",1.0e-03
"Acker",5.0e-03
"Ackerman",9.0e-03
"Ackermann",1.0e-03
"Ackerson",1.0e-03
"Ackles",1.0e-03
"Ackley",3.0e-03
"Acklin",1.0e-03
"Ackman",1.0e-03
"Acord",1.0e-03
"Acosta",0.02
"Acree",2.0e-03
"Acres",1.0e-03
"Acton",2.0e-03
"Acuff",1.0e-03
"Acuna",4.0e-03
"Adair",7.0e-03
"Adam",5.0e-03
"Adamczyk",1.0e-03
"Adame",4.0e-03
"Adamek",1.0e-03
"Adames",2.0e-03
"Adamo",1.0e-03
"Adams",0.17
"Adamski",1.0e-03
"Adamson",5.0e-03
"Adan",1.0e-03
"Adcock",5.0e-03
"Adcox",1.0e-03
"Addington",2.0e-03
"Addis",1.0e-03
"Addison",7.0e-03
"Addy",1.0e-03
"Adelman",1.0e-03
"Adelson",1.0e-03
"Aden",1.0e-03
"Aderholt",1.0e-03
"Adger",1.0e-03
"Adkins",0.02
"Adkinson",1.0e-03
"Adkison",1.0e-03
"Adkisson",1.0e-03
"Adler",5.0e-03
"Adolph",1.0e-03
"Adorno",2.0e-03
"Adrian",2.0e-03
"Agan",1.0e-03
"Agar",1.0e-03
"Agarwal",1.0e-03
"Agee",5.0e-03
"Ager",1.0e-03
"Agin",1.0e-03
"Agnew",3.0e-03
"Agostini",1.0e-03
"Agosto",2.0e-03
"Aguayo",3.0e-03
"Aguero",1.0e-03
"Aguiar",3.0e-03
"Aguila",1.0e-03
"Aguilar",0.03
"Aguilera",6.0e-03
"Aguinaldo",1.0e-03
"Aguirre",0.01
"Aguon",1.0e-03
"Agustin",1.0e-03
"Ahart",1.0e-03
"Ahearn",1.0e-03
"Ahern",3.0e-03
"Ahl",1.0e-03
"Ahlers",1.0e-03
"Ahlstrom",1.0e-03
"Ahmad",3.0e-03
"Ahmed",4.0e-03
"Ahn",2.0e-03
"Ahner",2.0e-03
"Aho",1.0e-03
"Ahrens",3.0e-03
"Ahumada",1.0e-03
"Aichele",1.0e-03
"Aiello",3.0e-03
"Aiken",5.0e-03
"Aikens",2.0e-03
"Aikin",1.0e-03
"Ainsworth",4.0e-03
"Aitken",1.0e-03
"Akbar",1.0e-03
"Ake",1.0e-03
"Aker",1.0e-03
"Akers",0.01
"Akin",3.0e-03
"Akins",8.0e-03
"Akridge",1.0e-03
"Alaimo",1.0e-03
"Alam",1.0e-03
"Alameda",1.0e-03
"Alamo",1.0e-03
"Alanis",2.0e-03
"Alaniz",5.0e-03
"Alarcon",3.0e-03
"Alatorre",1.0e-03
"Alba",3.0e-03
"Alban",1.0e-03
"Albanese",2.0e-03
"Albano",1.0e-03
"Albarado",1.0e-03
"Albarran",1.0e-03
"Albaugh",1.0e-03
"Albee",1.0e-03
"Alber",1.0e-03
"Albers",4.0e-03
"Albert",0.01
"Alberto",1.0e-03
"Alberts",2.0e-03
"Albertson",4.0e-03
"Alberty",1.0e-03
"Albin",1.0e-03
"Albino",1.0e-03
"Albrecht",6.0e-03
"Albright",9.0e-03
"Albritton",2.0e-03
"Albro",1.0e-03
"Albury",1.0e-03
"Alcala",3.0e-03
"Alcantar",2.0e-03
"Alcantara",2.0e-03
"Alcaraz",2.0e-03
"Alcazar",1.0e-03
"Alcocer",1.0e-03
"Alcock",1.0e-03
"Alcorn",3.0e-03
"Alcott",1.0e-03
"Aldaco",1.0e-03
"Aldana",1.0e-03
"Alday",1.0e-03
"Alden",2.0e-03
"Alder",1.0e-03
"Alderete",1.0e-03
"Alderman",4.0e-03
"Alderson",2.0e-03
"Aldrich",7.0e-03
"Aldridge",9.0e-03
"Alegria",1.0e-03
"Alejandre",1.0e-03
"Alejandro",2.0e-03
"Alejo",1.0e-03
"Alejos",1.0e-03
"Aleman",4.0e-03
"Alers",1.0e-03
"Aleshire",1.0e-03
"Alessi",1.0e-03
"Alex",2.0e-03
"Alexander",0.08
"Alexandre",1.0e-03
"Alexis",1.0e-03
"Alfano",1.0e-03
"Alfaro",7.0e-03
"Alfonso",3.0e-03
"Alford",0.01
"Alfred",3.0e-03
"Algarin",1.0e-03
"Alger",3.0e-03
"Ali",7.0e-03
"Alicea",4.0e-03
"Aliff",1.0e-03
"Alkire",1.0e-03
"Allain",1.0e-03
"Allaire",1.0e-03
"Allan",3.0e-03
"Allard",5.0e-03
"Allbright",1.0e-03
"Allbritton",1.0e-03
"Alldredge",1.0e-03
"Allee",1.0e-03
"Alleman",2.0e-03
"Allen",0.19
"Allender",1.0e-03
"Alley",6.0e-03
"Alleyne",2.0e-03
"Allgood",2.0e-03
"Allie",1.0e-03
"Alligood",1.0e-03
"Alling",1.0e-03
"Allis",1.0e-03
"Allison",0.02
"Allman",3.0e-03
"Allmon",1.0e-03
"Alloway",1.0e-03
"Allred",7.0e-03
"Allshouse",1.0e-03
"Allsop",1.0e-03
"Allsup",1.0e-03
"Allums",1.0e-03
"Alm",1.0e-03
"Almaguer",1.0e-03
"Almanza",3.0e-03
